*gᵂʰer-	'warm werden'	IEW 493-5
*gᵂʰreħ-	'etw. riechen'	IEW 495-6
*Hedʰ-	'sagen'	IEW 201
*Heyģʰ-	'begehren'	IEW 14-5
*Heyg-	'sich (heftig?) bewegen'	IEW 13-4
*Heyḱ-	'sich aneignen'	IEW 298-9
*Herd-	'ins Schwanken geraten'	IEW 329-30, 334
*Hers-	'stoßen'	IEW 335
*?Hew-	'weben'	IEW 75
*Hyaģ-	'verehren'	IEW 501
*Hyeħ-	'werfen'	IEW 502
*Hyewdʰ-	'in Bewegung geraten (ohne Ortsveränderung)'	IEW 511-2
*Hmelḱ-	'streichen, berühren'	IEW 724
*Hnedʰ-	'binden'	IEW 758
*Hwer-	'einschließen, stecken, hineintun'	IEW 1150, 1160
*?HweRdʰ-	'groß/stark werden'	IEW 1167
*ħay-	'geben; nehmen'	IEW 10-1
*ħay-	'warm sein'	IEW 11, 68
*ħed-	'beißen, essen'	IEW 287-9
*?ħe(ģ)H-	'(er)mangeln'	IEW 290
*ħegᵂʰ-	'trinken'	IEW 23
*ħeħs-	'sitzen'	IEW 342-3
*ħey-	'gehen'	IEW 293-6
*ħeysḫ-	'kräftigen; antreiben'	IEW 299-301
*?ħe(ḱ)-	'sterben'	IEW –
*?ħelḫ-	'wohin treiben'	IEW 306-7
*?ħelk-	'leiden, sich schlecht fühlen'	IEW 307
*ħem-	'nehmen'	IEW 310-1
*ħep-	'fassen, ergreifen'	IEW 50-1
*ħer-	'wohin gelangen, geraten'	IEW 326-9
*ħerģʰ-	'besteigen'	IEW 328
*ħerH-	'waschen'	IEW 337
*?ħerḫ-	'lieben'	IEW –
*?ħerk-	'zerschneiden'	IEW –
*ħerkᵂ-	'strahlen, singen'	IEW 340
*ħers-	'fließen'	IEW 336-7
*ħes-	'dasein, sein'	IEW 340-1
*ħes-	'werfen, schießen'	IEW –
*ħew-	'sehen, erblicken'	IEW 78
*ħewH-	'helfen, fördern'	IEW 77-8
*ħewk-	'sich gewöhnen (an), lernen'	IEW 347
*ħews-	'verbrennen, sengen'	IEW 347-8
*ħger-	'erwachen'	IEW 390
*?ħgᵂʰel-	'wünschen'	IEW 489
*ħleyģ-	'ins Zittern/Beben geraten'	IEW 667-8
*ħlen(ģ)ʰ-	'eidlich versichern'	IEW 676
*ħlengᵂʰ-	'sich mühelos bewegen'	IEW 660-1
*ħlewdʰ-	'steigen, wachsen'	IEW 306-7, 684-5
*ħnedʰ-	'hervorkommen'	IEW 40-1
*?ħneģʰ-	'stechen, (hinein)stecken'	IEW 760
*ħneḱ-	'erhalten, nehmen'	IEW 316-8
*ħreħ-	'fragen'	IEW 337
*ħreħ-	'rudern'	IEW 338
*ħrey-	'sich erheben'	IEW 
*ħrem-	'ruhig werden'	IEW 864
*ħwegᵂʰ-	'feierlich sprechen'	IEW 348
*ħweḫ-	'verlassen, aufgeben; ablassen, aufhören'	IEW 345, 915, 1111
*?ħweld-	'wünschen'	IEW 1137
*ḫed-	'vertrocknen'	IEW 3, 69
*ḫedʰ(ģ)ʰ-	'drücken'	IEW –
*ḫeģ-	'treiben'	IEW 4-5
*ḫeģ-	'sagen'	IEW 290-1
*ḫegʰ-	'in Furcht geraten, betrübt werden'	IEW 7-8
*ḫeħ-	'heiß sein'	IEW –
*ḫeħs-	'(durch Hitze) vertrocknen'	IEW 68
*?ḫeḥ-	'glauben, vertrauen'	IEW –
*ḫeyd-	'schwellen'	IEW 774
*ḫeydʰ-	'entzünden'	IEW 11-2
*ḫeyḱ-	'aufspießen'	IEW 15
*ḫeys-	'suchen'	IEW 16
*ḫeysd-	'verehren'	IEW 16
*ḫeḱ-	'scharf sein/werden/machen'	IEW 18-22
*ḫeḱḥ-	'(auf)essen'	IEW 18
*ḫel-	'nähren, aufziehen'	IEW 26-7
*ḫeldʰ-	'glücklich erreichen'	IEW 27
*?ḫel(ģ)ʰ-	'frieren'	IEW 32
*ḫelgᵂʰ-	'einbringen (als Erlös)'	IEW 32-3
*ḫelḫ-	'ziellos gehen'	IEW 27-8
*ḫelk-	'abwehren'	IEW 32
*ḫemģʰ-	'(zu)schnüren, beengen'	IEW 42-3
*ḫemH-	'gießen, begießen'	IEW 35
*ḫemḥ-	'anfassen, anpacken, schwören'	IEW 778
*ḫen-	'schöpfen'	IEW 901
*?ḫendʰ-	'blühen, sprießen'	IEW 40-1
*ḫengᵂ-	'bestreichen, salben'	IEW 779
*ḫenħ-	'atmen'	IEW 38-9
*?ḫenḱ-	'zuteilen'	IEW 45, 318
*ḫenk-	'biegen'	IEW 45-6
*ḫens-	'zeugen, gebären'	IEW –
*?ḫent-	'Gewebe anzetteln, weben'	IEW 322
*ḫep-	'passen, sich fügen'	IEW 50-51
